frequency,callsign,city,state,format,slogan,erp,haat
88.9,W205CW,TYRONE,PA,Christian CHR + Rock,REV FM,0.01,
91.5,W218DC,YORK,PA,Religious Teaching,CSN INTERNATIONAL,0.01,179.6
99.7,W259DM,Lebanon,PA,Classic Hits,99.7 WILBUR RADIO,0.14,
100.1,W261ED,LEES CROSSROADS,PA,Religious,WORD FM,0.12,
104.5,W283DT,HERSHEY,PA,Religious Teaching,HOPE FM,0.03,
102.7,W274CL,SCRANTON,PA,Classic Rock,ROCK 107,0.25,
103.7,W279EM,SCRANTON,PA,Rhythmic CHR,LOUD 103.7,0.138,364.0
104.1,W281CQ,SCRANTON,PA,Oldies,THE MOTHERSHIP,0.135,351.0
106.9,W295DN,DANVILLE,PA,Country,BIGFOOT COUNTRY,0.25,
105.5,W288EO,EXETER,PA,Oldies,THE MOTHERSHIP,0.022,
106.5,W293DX,BELLEFONTE,PA,Talk/Sports,970 NEWSTALK,0.25,
105.7,WABT-LP,Matamoras,PA,Classic Hits,Z-105,0.1,-118.0
89.1,WDFS,MAINESBURG,PA,,,0.145,15.0
90.9,WCGN,TIDIOUTE,PA,Contemporary Christian,FAMILY LIFE NETWORK,12.0,199.0
88.9,WCOI,ST. MARYS,PA,,,3.0,101.0
91.1,WCOX,BEDFORD,PA,Contemporary Christian,FAMILY LIFE NETWORK,1.9,398.0
88.1,WFCP,PINE GROVE,PA,,,0.2,196.0
98.7,WFXS,PLEASANT GAP,PA,Sports,98.7 THE FOX,2.2,168.0
88.7,WKGQ,Connellsville,PA,,,0.036,713.0
104.7,WJJA-LP,STROUDSBURG,PA,Tropical,MIXX 104,0.082,33.0
92.7,WKYJ,STARVIEW,PA,Adult Contemporary,HAPPY 92.7,0.7,291.0
91.3,WLCH-FM,LANCASTER,PA,Talk,RADIO CENTRO,0.16,41.0
102.3,WLMZ-FM,PITTSTON,PA,Tropical,LA MEGA 102.3,5.8,22.0
91.7,WLWG,MOUNT PLEASANT,PA,,,0.8,275.0
88.1,WMLD,DUSHORE,PA,Country,,0.1,-22.6
88.7,WPME,BEDFORD,PA,Religious Teaching,WAY TRUTH LIFE RADIO,0.25,111.0
91.1,WPMY,LOCK HAVEN,PA,,,0.3,279.0
105.9,WQWK,PHILIPSBURG,PA,Rock,QWIK ROCK 105.9,0.71,290.0
97.5,WRRF-LP,TOBYHANNA,PA,Urban Contemporary,REEWIND RADIO,0.022,62.0
94.5,WTUU-LP,Hazleton,PA,Variety,TU 94.5,0.003,163.0
88.3,WTWH,HAZLETON,PA,,,0.4,247.0
90.5,WVAM-FM,HUNTERSVILLE,PA,,,0.005,266.0
93.7,KDKA-FM,PITTSBURGH,PA,Sports,93.7 THE FAN,41.0,167.0
88.1,W201DO,MILFORD,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.055,
90.1,W211AA,"HARRISBURG, ETC.",PA,,,0.006,137.0
88.3,W202CK,BUTLER,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.013,
88.7,W204CT,PITTSBURGH,PA,Contemporary Christian,K-LOVE,0.13,
88.9,W205AG,"CLARKS SUMMIT, ETC.",PA,Contemporary Christian/Religious Teaching,GOOD NEWS 88,0.007,307.0
88.9,W205CL,MESHOPPEN,PA,Contemporary Christian/Religious Teaching,GOOD NEWS 88,0.01,324.8
89.3,W207AA,WILLIAMSPORT,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.01,361.4
89.3,W207AE,READING,PA,Religious Teaching,FAMILY RADIO,0.008,24.0
89.3,W207AG,"FREELAND, ETC.",PA,Contemporary Christian,FAMILY LIFE NETWORK,0.013,190.0
89.3,W207BM,LOCK HAVEN,PA,Religious Teaching,THE SONLIFE RADIO NETWORK,0.055,
89.5,W208AF,"NANTICOKE, ETC.",PA,Religious Teaching,FAMILY RADIO,0.016,313.0
89.7,W209BN,CHAMBERSBURG,PA,Religious Teaching,THE SONLIFE RADIO NETWORK,0.01,23.0
89.7,W209CQ,NEW WILMINGTON,PA,Classical/News,WYSU 88.5,0.027,64.0
89.7,W209CS,Erie,PA,Religious Teaching,CSN INTERNATIONAL,0.01,
90.3,W212AT,CLARKS SUMMIT,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.002,234.0
90.3,W212BK,FRANKLIN,PA,Religious Teaching,THE SONLIFE RADIO NETWORK,0.01,76.0
90.5,W213BU,HAZLETON,PA,Contemporary Christian/Religious Teaching,GOOD NEWS 88,0.002,
90.7,W214AL,"DENVER, ETC.",PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.005,261.0
90.7,W214CF,MANSFIELD,PA,Religious Teaching,REJOICE RADIO,0.01,90.9
90.9,W215AA,"MILLERSBURG, ETC.",PA,Religious Teaching,AMERICAN FAMILY RADIO,0.006,189.0
90.9,W215BG,MILFORD,PA,News/Talk,NORTHEAST PUBLIC RADIO,0.01,71.2
91.5,W218AP,TITUSVILLE,PA,News/Classical,Q-91.3,0.013,96.0
91.5,W218BN,MANSFIELD,PA,Religious Teaching,THE SONLIFE RADIO NETWORK,0.01,84.0
91.7,W219DB,JOHNSTOWN,PA,Religious Teaching,BIBLE BROADCASTING NETWORK,0.022,
91.9,W220BA,OIL CITY,PA,News/Classical,Q-91.3,0.01,46.0
91.9,W220CO,CARBONDALE,PA,Religious Teaching,LIFETALK RADIO,0.01,230.0
92.1,W221AS,SAYRE,PA,Religious Teaching,YOUR STATION FOR INFORMATION & INSPIRATION,0.008,81.0
